gender,senior_citizen,partner,dependents,tenure,online_security,online_backup,tech_support,streaming_tv,streaming_movies,payment_method,contract_type,paperless_billing,monthly_charges,total_charges,churn
Female,0,Yes,Yes,45,No,Yes,No,No,Yes,Mailed check,Month-to-month,Yes,49.53,2231.27,No
Male,0,No,No,6,Yes,No,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,30.66,185.31,No
Female,1,No,Yes,48,No,Yes,No,No,No,Bank transfer (automatic),One year,No,50.27,2261.05,No
Female,0,Yes,No,31,No,Yes,No,No,Yes,Mailed check,Month-to-month,Yes,92.19,2879.98,Yes
Female,0,Yes,No,24,Yes,No,No,Yes,No,Credit card (automatic),Month-to-month,Yes,78.59,1894.61,Yes
Male,0,No,No,63,No,Yes,No,No,Yes,Electronic check,Two year,Yes,88.52,5591.45,No
Male,0,No,Yes,59,No,No,Yes,Yes,Yes,Credit card (automatic),Month-to-month,No,80.87,4763.33,No
Male,0,Yes,No,58,No,Yes,Yes,Yes,No,Electronic check,Month-to-month,No,47.95,2783.19,No
Female,0,No,No,64,Yes,Yes,No,No,No,Credit card (automatic),Month-to-month,No,88.64,5680.55,No
Female,0,Yes,No,17,Yes,No,Yes,Yes,No,Credit card (automatic),One year,Yes,84.06,1441.32,No
Male,1,Yes,No,62,No,No,No,Yes,Yes,Credit card (automatic),One year,Yes,67.18,4186.59,No
Male,1,Yes,No,13,No,No,Yes,Yes,No,Electronic check,One year,No,71.41,941.08,Yes
Male,1,Yes,No,24,No,Yes,No,No,No,Mailed check,One year,No,89.02,2219.7,Yes
Female,0,No,No,40,No,Yes,Yes,No,No,Credit card (automatic),Month-to-month,Yes,52.01,2047.86,No
Female,0,Yes,No,54,No,No,No,Yes,Yes,Mailed check,Two year,Yes,96.11,5173.02,No
Male,1,No,Yes,42,Yes,No,Yes,No,Yes,Mailed check,Month-to-month,Yes,83.56,3585.8,Yes
Male,0,Yes,No,41,No,No,No,Yes,Yes,Mailed check,Month-to-month,Yes,70.05,2865.26,No
Female,0,No,No,28,No,No,Yes,No,No,Electronic check,Month-to-month,No,106.75,3030.91,No
Male,0,No,No,43,Yes,No,No,No,No,Mailed check,Month-to-month,No,38.94,1680.35,No
Male,0,No,No,35,Yes,No,Yes,Yes,No,Electronic check,Month-to-month,Yes,58.96,2053.19,No
Female,0,No,No,35,No,Yes,No,No,Yes,Bank transfer (automatic),Month-to-month,No,53.63,1921.29,No
Male,1,No,Yes,43,No,No,No,No,Yes,Mailed check,One year,No,78.59,3402.88,No
Female,0,Yes,No,44,No,No,No,Yes,Yes,Electronic check,One year,Yes,98.38,4259.6,Yes
Female,0,No,No,24,Yes,No,No,Yes,No,Electronic check,One year,Yes,46.41,1121.59,No
Male,0,No,No,10,No,Yes,No,No,Yes,Credit card (automatic),Month-to-month,No,130.0,1255.22,Yes
Male,0,Yes,No,22,Yes,No,No,Yes,Yes,Mailed check,Month-to-month,Yes,54.09,1247.27,No
Female,0,Yes,No,30,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Two year,No,78.66,2438.6,Yes
Male,0,Yes,No,12,No,No,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,70.06,925.1,Yes
Female,1,Yes,No,13,No,No,No,Yes,No,Bank transfer (automatic),Month-to-month,No,71.11,940.49,Yes
Male,0,Yes,No,69,No,No,No,Yes,Yes,Mailed check,Month-to-month,Yes,50.98,3497.0,No
Female,0,Yes,No,21,No,Yes,Yes,Yes,No,Bank transfer (automatic),Month-to-month,Yes,95.62,2022.52,No
Male,1,No,Yes,54,No,Yes,No,Yes,No,Electronic check,Month-to-month,No,49.51,2631.03,Yes
Male,0,Yes,No,10,Yes,No,No,No,No,Bank transfer (automatic),One year,Yes,27.55,381.0,Yes
Male,0,No,No,71,Yes,No,No,No,No,Electronic check,Two year,Yes,43.07,3111.86,No
Male,0,Yes,No,16,No,No,Yes,Yes,No,Credit card (automatic),Two year,Yes,104.69,1688.7,Yes
Female,0,No,No,29,No,Yes,No,No,No,Mailed check,Month-to-month,Yes,100.01,2945.19,Yes
Male,0,Yes,No,57,Yes,No,No,Yes,Yes,Electronic check,Month-to-month,Yes,21.83,1221.97,No
Female,0,Yes,No,15,Yes,No,Yes,Yes,No,Bank transfer (automatic),One year,Yes,89.53,1293.08,No
Male,0,Yes,No,40,Yes,Yes,Yes,No,Yes,Electronic check,Month-to-month,Yes,22.43,797.75,Yes
Male,0,No,No,57,Yes,Yes,No,Yes,Yes,Mailed check,Month-to-month,Yes,69.35,3956.49,No
Female,0,Yes,Yes,2,No,No,No,No,Yes,Credit card (automatic),One year,Yes,41.01,72.66,No
Male,0,No,No,2,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),Month-to-month,No,91.38,206.13,Yes
Male,0,Yes,No,57,No,No,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,83.31,4749.36,No
Female,0,No,No,19,No,No,Yes,No,Yes,Mailed check,Month-to-month,No,93.51,1798.01,Yes
Female,0,Yes,Yes,66,No,No,No,Yes,Yes,Mailed check,Month-to-month,Yes,62.91,4188.84,No
Female,0,No,No,67,No,Yes,No,No,Yes,Electronic check,Month-to-month,Yes,65.41,4316.63,Yes
Female,0,Yes,No,64,Yes,No,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,34.02,2216.26,No
Female,0,Yes,No,72,Yes,No,Yes,Yes,No,Bank transfer (automatic),Month-to-month,Yes,45.27,3241.03,Yes
Male,1,Yes,Yes,60,Yes,No,No,Yes,Yes,Electronic check,One year,Yes,92.76,5589.18,No
Male,0,Yes,No,28,Yes,No,Yes,No,No,Electronic check,Two year,No,78.81,2252.8,No
Female,0,Yes,No,72,Yes,No,No,No,No,Electronic check,Two year,Yes,72.5,5266.6,No
Male,1,No,Yes,25,Yes,No,No,No,No,Electronic check,Two year,Yes,100.29,2513.08,Yes
Male,0,Yes,Yes,43,Yes,No,No,No,No,Electronic check,Month-to-month,No,38.8,1676.28,No
Female,0,Yes,Yes,1,Yes,No,No,Yes,Yes,Mailed check,Month-to-month,Yes,87.28,127.42,Yes
Male,1,No,No,70,No,Yes,Yes,No,No,Mailed check,Month-to-month,No,41.7,2851.46,No
Male,0,Yes,Yes,43,Yes,Yes,Yes,No,Yes,Mailed check,Month-to-month,Yes,105.47,4492.34,Yes
Male,0,Yes,No,69,Yes,No,No,No,Yes,Electronic check,One year,Yes,83.07,5719.08,No
Male,0,No,No,26,No,Yes,No,No,Yes,Mailed check,Month-to-month,Yes,93.15,2361.87,Yes
Male,0,No,No,23,Yes,No,Yes,No,No,Credit card (automatic),Two year,Yes,53.16,1210.46,No
Female,0,No,No,38,No,No,No,Yes,No,Electronic check,Month-to-month,Yes,122.37,4635.39,Yes
Male,1,Yes,No,63,No,No,No,No,Yes,Electronic check,Month-to-month,No,117.97,7435.74,Yes
Male,1,No,Yes,40,No,Yes,No,No,No,Mailed check,Two year,Yes,80.33,3210.6,Yes
Female,0,Yes,No,58,Yes,No,No,No,Yes,Electronic check,Month-to-month,No,98.21,5744.08,Yes
Male,0,No,Yes,16,No,Yes,Yes,Yes,Yes,Mailed check,One year,Yes,62.75,1029.86,No
Female,0,No,Yes,56,No,No,Yes,Yes,Yes,Mailed check,One year,Yes,39.56,2211.96,No
Female,1,No,No,53,Yes,No,No,No,No,Mailed check,One year,Yes,89.1,4707.25,No
Female,0,Yes,Yes,65,Yes,No,No,No,No,Credit card (automatic),Two year,No,47.94,3113.74,No
Male,1,Yes,Yes,5,Yes,No,No,No,Yes,Credit card (automatic),Month-to-month,Yes,101.45,505.88,Yes
Female,1,No,No,28,No,No,No,No,Yes,Mailed check,Month-to-month,No,95.15,2777.5,Yes
Female,0,Yes,No,7,Yes,Yes,Yes,No,No,Mailed check,One year,Yes,75.65,463.93,No
Female,0,No,Yes,29,Yes,Yes,No,No,No,Credit card (automatic),Month-to-month,No,74.3,2113.11,No
Male,1,No,No,55,No,Yes,Yes,Yes,Yes,Mailed check,One year,No,93.74,5107.58,Yes
Male,0,No,No,47,No,No,Yes,Yes,No,Credit card (automatic),Month-to-month,No,76.59,3611.83,No
Female,0,Yes,No,55,Yes,Yes,No,No,No,Bank transfer (automatic),Month-to-month,No,60.29,3326.45,Yes
Female,1,Yes,Yes,54,Yes,Yes,No,Yes,No,Electronic check,Month-to-month,Yes,33.65,1791.41,Yes
Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Electronic check,Two year,No,93.01,6737.3,No
Female,0,Yes,No,64,No,Yes,No,No,No,Electronic check,Month-to-month,Yes,78.79,5059.48,Yes
Male,0,Yes,Yes,43,No,Yes,Yes,Yes,No,Credit card (automatic),Month-to-month,Yes,130.0,5632.21,Yes
Female,0,No,Yes,64,No,No,No,No,Yes,Electronic check,Month-to-month,No,67.7,4386.84,No
Male,1,No,Yes,4,Yes,Yes,No,Yes,No,Bank transfer (automatic),Month-to-month,No,77.25,213.1,Yes
Female,0,No,No,52,Yes,No,Yes,No,No,Mailed check,Month-to-month,Yes,77.81,4077.08,Yes
Female,0,Yes,Yes,38,Yes,Yes,No,Yes,No,Credit card (automatic),One year,No,85.62,3195.44,No
Male,0,No,No,69,Yes,No,No,No,No,Bank transfer (automatic),Month-to-month,Yes,46.79,3240.07,No
Female,1,No,No,37,No,Yes,Yes,No,Yes,Electronic check,Month-to-month,Yes,68.15,2518.15,Yes
Male,0,No,Yes,13,No,No,Yes,Yes,No,Mailed check,Month-to-month,Yes,89.86,1166.87,No
Male,1,No,No,53,Yes,No,No,Yes,Yes,Mailed check,Month-to-month,No,62.01,3232.52,Yes
Male,0,No,Yes,69,No,Yes,Yes,Yes,No,Credit card (automatic),Two year,No,88.96,6184.92,Yes
Male,1,Yes,Yes,2,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Two year,No,72.32,86.57,Yes
Male,1,Yes,No,5,No,Yes,Yes,Yes,Yes,Mailed check,One year,Yes,79.64,432.0,Yes
Female,1,No,No,48,Yes,No,No,Yes,Yes,Credit card (automatic),Two year,No,97.63,4621.67,No
Female,1,Yes,No,41,No,No,Yes,No,No,Mailed check,Month-to-month,Yes,64.54,2645.48,No
Female,0,Yes,No,40,Yes,Yes,No,Yes,No,Electronic check,Two year,Yes,35.16,1487.42,No
Male,0,Yes,Yes,7,No,No,Yes,Yes,No,Credit card (automatic),Month-to-month,No,63.61,551.53,Yes
Female,0,Yes,No,42,No,Yes,Yes,Yes,Yes,Mailed check,One year,No,50.19,2035.0,No
Female,0,No,Yes,41,No,No,No,Yes,Yes,Credit card (automatic),One year,No,18.98,746.57,No
Female,1,No,No,62,No,Yes,Yes,No,No,Mailed check,Month-to-month,No,67.44,4157.74,No
Female,1,Yes,No,29,Yes,No,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,74.78,2270.0,Yes
Female,0,Yes,No,26,No,Yes,No,No,No,Mailed check,Month-to-month,Yes,94.5,2453.88,Yes
Female,0,No,No,6,Yes,No,No,No,No,Mailed check,Month-to-month,No,42.66,304.3,Yes
Male,0,Yes,No,41,No,Yes,Yes,Yes,No,Electronic check,Month-to-month,Yes,72.12,2970.6,Yes
Male,0,No,No,47,Yes,No,No,Yes,Yes,Bank transfer (automatic),Two year,No,97.07,4508.52,No
Male,0,Yes,Yes,21,Yes,Yes,Yes,No,No,Electronic check,Month-to-month,Yes,56.21,1096.69,No
Female,0,No,Yes,53,No,Yes,No,Yes,No,Electronic check,One year,Yes,82.87,4364.48,No
Male,0,No,Yes,68,Yes,Yes,Yes,No,No,Mailed check,Month-to-month,No,108.35,7471.74,Yes
Female,0,No,No,13,No,No,Yes,No,No,Mailed check,Month-to-month,No,25.3,340.52,Yes
Male,0,Yes,No,42,Yes,Yes,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,76.54,3262.28,No
Male,0,No,Yes,50,No,No,Yes,No,No,Bank transfer (automatic),Month-to-month,Yes,97.91,4831.65,Yes
Male,1,No,No,2,No,No,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,61.58,108.53,Yes
Female,0,No,No,13,No,Yes,No,Yes,No,Mailed check,Month-to-month,Yes,103.28,1377.72,Yes
Female,0,Yes,Yes,29,Yes,Yes,No,Yes,No,Mailed check,Month-to-month,No,85.22,2422.32,Yes
Male,0,Yes,No,10,Yes,Yes,No,No,No,Electronic check,Month-to-month,Yes,112.46,1121.77,Yes
Female,0,Yes,No,26,Yes,Yes,No,No,Yes,Mailed check,Two year,Yes,83.98,2143.87,Yes
Female,1,Yes,No,11,Yes,No,No,Yes,No,Credit card (automatic),One year,No,114.46,1296.26,Yes
Female,0,Yes,No,65,No,No,Yes,Yes,Yes,Mailed check,Month-to-month,No,77.2,5035.93,Yes
Female,0,No,No,44,Yes,Yes,No,Yes,No,Credit card (automatic),One year,Yes,37.17,1666.36,No
Female,1,Yes,No,24,Yes,Yes,Yes,No,No,Electronic check,Two year,No,54.86,1355.74,No
Female,1,Yes,No,57,Yes,No,Yes,Yes,No,Bank transfer (automatic),Month-to-month,Yes,94.44,5372.88,No
Male,0,Yes,No,2,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,93.97,233.08,Yes
Male,0,Yes,No,43,Yes,No,Yes,Yes,No,Bank transfer (automatic),Month-to-month,No,62.55,2662.92,No
Male,0,Yes,No,50,Yes,No,Yes,No,No,Bank transfer (automatic),Month-to-month,Yes,113.3,5693.32,Yes
Female,0,No,No,59,No,Yes,Yes,No,No,Electronic check,Two year,No,61.5,3540.09,No
Male,0,Yes,Yes,17,Yes,No,No,No,No,Bank transfer (automatic),Two year,No,81.09,1344.9,No
Female,0,No,Yes,43,No,No,No,No,No,Mailed check,Month-to-month,No,80.42,3562.39,Yes
Female,1,Yes,No,56,Yes,No,No,Yes,Yes,Mailed check,Month-to-month,Yes,38.07,2159.34,No
Female,0,Yes,No,58,No,No,Yes,No,Yes,Electronic check,One year,Yes,67.35,3933.71,No
Female,0,No,No,13,No,No,Yes,No,No,Electronic check,Month-to-month,No,127.13,1615.59,No
Male,0,Yes,No,71,No,No,No,Yes,No,Credit card (automatic),Month-to-month,No,47.87,3349.22,No
Female,0,Yes,Yes,20,No,No,Yes,No,Yes,Electronic check,Month-to-month,No,85.0,1688.18,Yes
Male,0,No,Yes,29,No,No,Yes,No,Yes,Mailed check,Two year,Yes,42.29,1223.53,No
Female,1,No,No,14,No,No,No,Yes,No,Electronic check,One year,No,47.62,752.77,Yes
Male,1,No,Yes,11,No,No,No,Yes,No,Bank transfer (automatic),One year,Yes,36.06,442.48,No
Female,0,Yes,No,19,No,Yes,Yes,No,No,Bank transfer (automatic),One year,Yes,92.59,1764.03,No
Female,0,No,No,10,No,No,No,Yes,No,Credit card (automatic),Month-to-month,Yes,49.09,493.82,Yes
Male,0,No,No,53,No,Yes,No,No,No,Bank transfer (automatic),Month-to-month,No,100.42,5356.37,Yes
Male,0,No,No,44,Yes,Yes,No,Yes,No,Electronic check,Two year,Yes,57.25,2459.58,No
Female,1,Yes,No,29,Yes,Yes,Yes,No,Yes,Electronic check,Two year,Yes,73.07,2032.63,No
Male,0,Yes,No,40,Yes,Yes,No,No,No,Electronic check,Month-to-month,No,79.87,3228.38,Yes
Female,0,Yes,Yes,44,Yes,No,No,No,No,Bank transfer (automatic),Month-to-month,No,31.19,1375.82,No
Male,0,Yes,No,14,Yes,Yes,Yes,Yes,No,Credit card (automatic),Two year,Yes,74.89,989.38,Yes
Male,0,No,No,22,Yes,No,No,No,Yes,Electronic check,Month-to-month,No,78.4,1630.48,Yes
Female,0,Yes,Yes,64,No,No,No,No,No,Mailed check,Month-to-month,No,97.36,6271.29,No
Male,0,Yes,No,1,No,Yes,Yes,No,No,Bank transfer (automatic),Month-to-month,Yes,46.97,23.5,No
Female,0,Yes,No,69,No,Yes,No,No,Yes,Bank transfer (automatic),Month-to-month,No,50.39,3495.02,No
Female,0,Yes,Yes,70,No,No,No,No,No,Bank transfer (automatic),One year,No,85.83,5996.17,No
Female,0,Yes,No,19,Yes,No,No,No,No,Mailed check,One year,No,103.9,1972.51,No
Female,0,Yes,No,24,Yes,Yes,Yes,Yes,No,Electronic check,Month-to-month,Yes,55.78,1312.07,Yes
Male,0,Yes,No,15,No,Yes,No,Yes,No,Mailed check,Month-to-month,Yes,40.36,601.88,Yes
Female,1,No,No,41,No,Yes,Yes,No,Yes,Mailed check,Month-to-month,No,62.4,2584.31,Yes
Female,0,Yes,No,16,No,Yes,No,Yes,No,Bank transfer (automatic),Month-to-month,No,45.68,718.48,No
Male,0,No,No,57,No,Yes,No,No,Yes,Electronic check,Month-to-month,Yes,79.55,4519.19,Yes
Female,0,Yes,No,28,No,No,No,Yes,No,Mailed check,Month-to-month,Yes,44.08,1261.69,Yes
Male,0,Yes,Yes,70,No,Yes,No,Yes,No,Credit card (automatic),Two year,No,93.35,6564.82,No
Female,0,Yes,Yes,62,No,Yes,Yes,No,No,Mailed check,Two year,Yes,75.1,4605.19,No
Male,0,Yes,No,29,No,No,Yes,Yes,No,Electronic check,Month-to-month,No,94.1,2727.55,Yes
Male,1,Yes,No,43,Yes,No,No,No,No,Credit card (automatic),One year,Yes,18.0,750.43,No
Male,0,Yes,Yes,2,Yes,No,Yes,No,Yes,Electronic check,Two year,No,27.8,56.23,No
Female,0,No,No,5,Yes,No,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,101.02,569.65,Yes
Female,0,Yes,No,37,No,No,No,Yes,Yes,Electronic check,Two year,No,52.73,1967.22,Yes
Male,0,Yes,No,35,No,Yes,No,Yes,No,Credit card (automatic),Month-to-month,No,34.81,1315.63,No
Female,0,No,No,29,Yes,Yes,Yes,No,No,Electronic check,Month-to-month,Yes,65.14,1898.8,No
Male,0,Yes,No,7,Yes,No,No,Yes,No,Mailed check,Month-to-month,Yes,75.82,523.22,Yes
Female,0,Yes,No,61,No,No,Yes,No,Yes,Credit card (automatic),Month-to-month,No,66.21,4037.78,No
Male,0,Yes,No,30,Yes,No,No,No,No,Bank transfer (automatic),One year,No,81.23,2443.39,Yes
Male,1,Yes,Yes,34,No,Yes,No,Yes,Yes,Electronic check,One year,Yes,77.98,2665.85,Yes
Female,0,Yes,No,30,Yes,No,No,No,No,Electronic check,Month-to-month,Yes,76.72,2257.07,No
Female,1,No,Yes,36,Yes,Yes,No,Yes,No,Electronic check,Month-to-month,No,102.36,3674.5,Yes
Male,0,No,No,47,Yes,No,Yes,No,No,Electronic check,Two year,No,69.66,3241.41,No
Female,0,No,Yes,56,Yes,No,No,Yes,No,Mailed check,Two year,Yes,68.95,3907.76,No
Male,0,Yes,No,40,Yes,Yes,No,No,Yes,Mailed check,One year,Yes,89.27,3484.04,Yes
Female,0,Yes,No,12,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Month-to-month,Yes,83.26,1006.23,Yes
Male,0,Yes,Yes,63,Yes,No,No,No,No,Bank transfer (automatic),Month-to-month,No,48.33,2976.56,Yes
Male,0,Yes,No,21,Yes,No,No,Yes,No,Credit card (automatic),Month-to-month,No,67.79,1443.03,No
Female,0,Yes,Yes,2,No,Yes,No,No,Yes,Mailed check,Two year,Yes,80.52,143.08,Yes
Male,1,Yes,No,3,Yes,No,No,No,Yes,Mailed check,One year,Yes,55.92,85.99,No
Female,0,Yes,No,56,Yes,Yes,Yes,No,No,Bank transfer (automatic),Two year,Yes,57.06,3237.75,No
Male,0,Yes,No,28,Yes,Yes,No,No,Yes,Mailed check,Month-to-month,Yes,36.6,911.7,Yes
